"","variable","coef","p_value"
"(Intercept)","(Intercept)",0.0642497381719346,7.17476601000822e-05
"age","age",-0.000178840062514966,0.00763406328040944
"sex2","sex2",-0.0116335121395701,9.54000347896928e-09
"nr_medication","nr_medication",-0.000200622876615312,0.00111101530107446
"COPD_morb1","COPD_morb1",-0.00958172545993756,0.0201710341689019
"migraine_morb1","migraine_morb1",-0.0167624790543983,0.00363189933878642
"nr_contacts_resp","nr_contacts_resp",0.000331112295739797,0.857428598655145
"osteop_morb1","osteop_morb1",-0.00732942311167604,0.163608314044005
"poor_immune_response1","poor_immune_response1",-0.0178491665674013,1.03968357529937e-12
"alcmisb_morb1","alcmisb_morb1",0.0884068869026965,2.87814019331397e-07
"practice_size","practice_size",5.11237032947278e-05,6.57242632211398e-05
"Depressie_morb1","Depressie_morb1",0.00228536522346008,0.625275675975588
"aangaf_morb1","aangaf_morb1",0.00431981251417683,0.802965956413524
"hartfalen_morb1","hartfalen_morb1",-0.0283926757366925,0.00151228799400266
"flu_epi","flu_epi",-0.00411599510046978,0.621380374618545
"season.L","season.L",-0.022526877205258,0.0117492847601906
"season.Q","season.Q",0.0206474518050884,1.70104224817181e-06
"season.C","season.C",0.00399193183437801,0.118628708626292
"postalcode10","postalcode10",-0.0397120402937771,0.00178459496830377
"postalcode11","postalcode11",-0.0297676791900157,0.052061065619102
"postalcode12","postalcode12",-0.0612306769667624,2.438085575038e-06
"postalcode13","postalcode13",-0.0185280137684489,0.829393632614118
"postalcode14","postalcode14",-0.0298806799461728,0.0377883509975871
"postalcode15","postalcode15",-0.0808509718253643,1.89346833370642e-08
"postalcode16","postalcode16",-0.0482952248799658,0.0568821840845934
"postalcode17","postalcode17",-0.0248258046466319,0.1098148323778
"postalcode18","postalcode18",0.0199028686267995,0.262675886202437
"postalcode19","postalcode19",-0.0418948703676548,0.00229029511470662
"postalcode20","postalcode20",4.04821114888657e-06,0.99975442804028
"postalcode21","postalcode21",-0.0629752183304557,2.65429427135223e-05
"postalcode22","postalcode22",-0.0204270377947802,0.156516569789497
"postalcode23","postalcode23",-0.0352959630757698,0.0260272122003983
"postalcode24","postalcode24",-0.00084045110446288,0.94939380182873
"postalcode25","postalcode25",-0.00297556032394108,0.832865849144473
"postalcode26","postalcode26",-0.0164013325797096,0.258040733015558
"postalcode27","postalcode27",-0.027981076438247,0.0818138731271548
"postalcode28","postalcode28",-0.00740178123346083,0.904052417376723
"postalcode29","postalcode29",0.00717299835880795,0.645253302258034
"postalcode30","postalcode30",-0.0291687677875723,0.0206915295152398
"postalcode31","postalcode31",-0.018155013103241,0.164667059117151
"postalcode32","postalcode32",-0.116266492156496,3.02040033957412e-07
"postalcode33","postalcode33",-0.00578951751807304,0.722400683008014
"postalcode34","postalcode34",-0.0361212817481234,0.00581400984154073
"postalcode35","postalcode35",-0.0567227814785064,0.000139304158898004
"postalcode36","postalcode36",-0.0442599845536553,0.267913186197785
"postalcode37","postalcode37",-0.0379251396860939,0.536683975982127
"postalcode38","postalcode38",-0.00229373908872639,0.86484224690577
"postalcode39","postalcode39",0.000824984038569543,0.953283613545987
"postalcode40","postalcode40",-0.0683772412162183,6.67204926441882e-05
"postalcode41","postalcode41",-0.0372114513630826,0.00779593256636086
"postalcode42","postalcode42",-0.0834068653231126,2.35371871104881e-08
"postalcode43","postalcode43",0.0108910220743078,0.528689626984222
"postalcode46","postalcode46",0.140199896302531,0.103017882298493
"postalcode47","postalcode47",-0.0546400708425722,0.0420801921829401
"postalcode50","postalcode50",0.0432201955341382,0.0331242605410525
"postalcode51","postalcode51",-0.0471516570984671,0.583338464079614
"postalcode52","postalcode52",0.0100710254587778,0.534256615308087
"postalcode53","postalcode53",-0.0299627225803824,0.0304373742579969
"postalcode54","postalcode54",-0.0608099372854723,1.20003792962939e-05
"postalcode55","postalcode55",-0.0682983757552642,0.0541882180588036
"postalcode56","postalcode56",-0.0829846562001374,3.97727168856179e-08
"postalcode57","postalcode57",-0.0114583996063449,0.397427483732077
"postalcode58","postalcode58",-0.0249523374432704,0.102640190136633
"postalcode59","postalcode59",-0.000862344976512573,0.985379725904278
"postalcode60","postalcode60",-0.121436457444798,8.5196419430355e-18
"postalcode61","postalcode61",-0.00273058178135119,0.914260988663036
"postalcode62","postalcode62",-0.0311466481737104,0.226506964409819
"postalcode63","postalcode63",-0.0472100966505632,0.44193456159846
"postalcode64","postalcode64",0.0398048503970199,0.00793199623798638
"postalcode65","postalcode65",-0.041899354116724,0.00313831179126102
"postalcode66","postalcode66",-0.0195548258333148,0.140288721056546
"postalcode67","postalcode67",0.0189513394490305,0.443065974235835
"postalcode68","postalcode68",0.0104383272890173,0.544429270559472
"postalcode69","postalcode69",-0.0713346923194745,1.90643430703239e-06
"postalcode70","postalcode70",-0.0157417929858785,0.290744652143156
"postalcode71","postalcode71",-0.0986366382781878,8.12393631083722e-10
"postalcode72","postalcode72",0.0430237885341227,0.0181935236002688
"postalcode73","postalcode73",-0.0521090901653341,0.000125346039795251
"postalcode74","postalcode74",-0.0306849231718705,0.0298020683968409
"postalcode75","postalcode75",0.00176820714368743,0.901707810906887
"postalcode76","postalcode76",-0.0169425140227533,0.306371113036279
"postalcode77","postalcode77",-0.0137472878650056,0.386016389301309
"postalcode78","postalcode78",-0.0091299309704522,0.562992779900992
"postalcode79","postalcode79",-0.0238680595088234,0.0637785103873637
"postalcode80","postalcode80",0.0239001501620746,0.204422406915878
"postalcode81","postalcode81",-0.0440714689690725,0.00442333079676662
"postalcode82","postalcode82",-0.00341861349147132,0.825504392403039
"postalcode83","postalcode83",-0.0162615615633927,0.311853413894585
"postalcode84","postalcode84",-0.0289864542424292,0.0506459351389988
